,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
156,Arkansas State,90.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
156,Iona (N.Y.),90.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
158,Western Michigan,88.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,31,37.5,0,0,0,0,0,0
159,North Carolina Wilmington,86.0,17,50,37,36,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
160,Binghamton (N.Y.),85.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
161,Eastern Washington,85.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
162,Richmond (Va.),83.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
163,North Carolina Greensboro,82.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
164,Cincinnati,80.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
165,Cal State Northridge,75.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,25.0,0,0,0,0,0,0
166,Colgate (N.Y.),75.0,0,0,0,0,0,0.0,9,25,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
166,Drake (Iowa),75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,33,25,0,0.0,0,0,0,0,0,0
166,Samford (Ala.),75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0
166,Siena (N.Y.),75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
166,South Alabama,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0
