,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
117,Colorado State,Mountain West,FBS,156,0,0,0,0,28,46,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,0,0,0,0,0,0,0
118,Navy,Patriot,FBS,154.5,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,33,25,0,0,55,17,0,0,0,0,0,0
119,LIU Brooklyn,Northeast,DI,150,0,0,0,0,79,5,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,9,25,0,0
120,Long Beach State,Big West,DI,148.5,0,0,0,0,55,15.5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,3,55,0,0,9,53
121,Portland,WCC,DI,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Brown,Ivy League,FCS,147,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Boston University,Patriot,DI,145.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,0,0
124,Western Michigan,MAC,FBS,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Boise State,Mountain West,FBS,140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
126,North Dakota State,Summit,FCS,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,FAU,Conference USA,FBS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,53
128,California Baptist,WAC,DI,135.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38.5,0,0,0,0,0,0,0,0
129,Colgate,Patriot,FCS,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Rutgers,Big Ten,FBS,134.5,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Loyola Marymount,WCC,DI,132.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,5,70
132,Arkansas State,Sun Belt,FBS,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,0,0,0,0,0,0,0
133,Providence,Big East,DI,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20.5,0,0,0,0,0,0,0,0
134,Northern Colorado,Big Sky,FCS,130,0,0,0,0,73,5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Charlotte,Conference USA,FBS,130,17,50,0,0,67,5,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0
136,Sacramento State,Big Sky,FCS,129,0,0,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Texas A&M Corpus Christi,Southland,DI,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,9,53
138,Villanova,Big East,FCS,127.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,8.5,0,0,0,0,0,0
139,High Point,Big South,DI,126.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,24,0,0,0,0,0,0,0,0
139,Rice,Conference USA,FBS,126.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,24,0,0,0,0,0,0,0,0
141,Akron,MAC,FBS,126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43.5,0,0,0,0,0,0
142,Florida Gulf Coast,ASUN,DI,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
143,UC Irvine,Big West,DI,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
144,Albany,America East,FCS,123,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Utah State,Mountain West,FBS,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Cincinnati,American,FBS,122.5,0,0,0,0,44,27.5,0,0,0,0,0,0,0,0,0,0,0,0,63,8.5,37,34,0,0,0,0,0,0
147,East Carolina,American,FBS,120,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,North Carolina Greensboro,SoCon,DI,120,0,0,0,0,50,22,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Southeastern Louisiana,Southland,FCS,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,0,0,0,0,0,0
147,James Madison,Sun Belt,FCS,120,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Sam Houston State,WAC,FCS,120,33,37.5,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,St. John's (NY),Big East,DI,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
153,Stephen F. Austin,WAC,FCS,112.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Kennesaw State,ASUN,FCS,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,South Dakota,Summit,FCS,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0
156,Fresno State,Mountain West,FBS,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
